,title,date,tags,summary
0, Whale Hunter's Payday,"Wednesday, August 21, 2024","REKT,Phishing","When phishing for whales, sometimes you land a big one. A crypto whale found themselves $55.47 million lighter after falling victim to a sophisticated phishing attack targeting their Maker vault."
1, Hedging Bets,"Monday, August 12, 2024","Polymarket,Uma Protocol,Betting Markets","Amid a pivotal Venezuelan election, Polymarket bets sparked debate on prediction markets' role and potential impact in politics. When does a prediction market cease to reflect reality and start to shape it?"
2, Ronin Network - Rekt II,"Wednesday, August 7, 2024","Ronin,REKT","The Ronin Network bridge was exploited for roughly $12 million, due to a critical oversight in a contract upgrade. For the Axie Infinity community and Ronin Network users, the words ""bridge exploit"" likely trigger PTSD."
3, Astroport - Rekt,"Wednesday, July 31, 2024","Astroport,Rekt","A DEX on the Terra network, @astroport_fi, fell victim to a hack resulting in losses of roughly $6.4 million. The attack exploited a vulnerability that was known and patched in April, only to be accidentally reintroduced in a June upgrade."
4, Thanks Squarespace,"Wednesday, July 31, 2024","Squarespace,Rekt","Squarespace's security lapse led to widespread crypto domain hijackings, exposing Web3 vulnerabilities tied to Web2 infrastructure. The incident highlights the crypto industry's security challenges & reliance on centralized systems it aims to replace."
5, The Humpy Dance,"Tuesday, July 30, 2024","governance,compound finance","A whale’s raid on Compound Finance. On July 28th, Compound Finance found itself in the crosshairs of a daring governance proposal, with critics crying foul play. Playing a high-stakes game of DeFi chess and this is not Humpy’s first dance and it won’t be his last."
6, The Creeping Line,"Thursday, July 25, 2024","AI,deepfake","Journey into the gripping world of The Creeping Line, where the relentless pursuit of AI advancement erodes the line between human & machine. When identities and experiences become commodities in a digital bazaar of fabricated realities, is this the price of progress?"
7, ETHTrustFund - Rekt,"Monday, July 22, 2024","ETHTrustFund,REKT","Another day, another rug pull. This time on Coinbase's pet project Base Network. ETHTrustFund rug pulls on Base, leading to $2.1 million in investor losses."
8, Rho Market - Rekt,"Friday, July 19, 2024","Rho Market,REKT,Dedaub","An oracle's misconfiguration turns into a $7.5 million windfall for an alert MEV bot. What began as a simple misstep in Rho Market's oracle configuration turned into a payday for an opportunistic MEV bot on July 19th, as it swiftly seized upon the opening within the protocol built on Scroll."
9, WazirX - Rekt,"Thursday, July 18, 2024","WazirX Protocol,REKT","India's leading crypto exchange, WazirX took a massive $235 million hit when it's Safe multisig wallet crumbled under a devastating breach. How many times do we need to be reminded of not your keys, not your crypto?"
