id,question
0,"Who was the attacker that exploited the smart contract in Aave on August 28, 2024?"
0,How did the attacker utilize the arbitrary call error to steal funds from multiple contracts within Aave's ecosystem?
0,What is the estimated amount stolen by the exploiter during this hack on Aave?
0,What was the total amount of tokens leftover from slippage that were accumulated across several blockchain networks?
0,In what sense did Aave representatives describe the hack as a 'raid of the tip jar'?
1,"What is the history of one of the brothers, Jonathan Adam, in terms of criminal convictions related to securities law violations?"
1,"How were the funds of investors utilized according to the SEC's allegations, and how much of it was actually used to pay other investors?"
1,Who were the individuals charged by SEC for a $60 million Ponzi scheme involving GCZ Global and Triten Financial Group?
1,"What did the accused brothers claim to offer to investors in their crypto bot business, and what percentage returns did they promise?"
1,"In what ways did the brothers use investor funds outside of paying returns, as per the summary?"
2,"What is the recommended course of action for those who suffer losses via a hack or scam, like the affected users in this incident?"
2,What steps should I take to secure my tokens when using a platform like Discord for discussions related to cryptocurrencies like Polygon?
2,"How can I recognize phishing links or compromised members in a Discord server, specifically for Polygon or similar cryptocurrency projects?"
2,Are there any red flags that could have alerted users about the suspicious nature of the link shared in the Polygon Discord server before clicking it?
2,"Given the recent Polygon Discord hack, how can I prevent losing my cryptocurrency funds in future incidents involving server hacks or token distributions?"
3,What was the coin promoted on the compromised accounts that caused significant price fluctuations?
3,How much profit did the attacker make from this hack by selling off their holdings of the promoted coin?
3,Why did the token price spike and plunge after the posts to McDonald's followers?
3,What is the significance of the phrase 'you have just been rug pulled' in the compromised Instagram account bio?
3,Who hacked McDonald's Instagram account and the Twitter account of a McDonald's marketing director in August 2024?
4,Can you provide more details about the transaction that reassigned ownership of the DAI stash to a phishing address?
4,Is there any available information regarding the current whereabouts or identity of the attacker?
4,"Approximately how long after the original transfer did the victim attempt to withdraw their tokens, and why was the withdrawal attempt unsuccessful?"
4,What was the total value lost in DAI stablecoins due to this apparent phishing attack?
4,What happened to the remaining portion of the stolen DAI tokens not exchanged for ETH?
5,"Which funds were used by Shan Hanes to invest in the fraudulent cryptocurrency scheme, including amounts and dates of fund transfers from Heartland Tri-State Bank?"
5,"What was the duration of imprisonment handed to Shan Hanes for his involvement in a cryptocurrency embezzlement scheme, particularly the 'pig butchering' scam?"
5,Why did those running the fraudulent cryptocurrency scheme ask for more money to 'unlock' returns on Hanes' investments — suggesting a tactic common with these types of scams?
5,What were the financial impacts of Hanes' actions on both Heartland Tri-State Bank and Equity investors? How much did equity investors lose as a direct result of this scheme?
5,"Who else was involved in the cryptocurrency scheme aside from Shan Hanes, given that he took money from various sources such as a local church, investment club, and daughter's college savings?"
6,How much money did Austin 'DNP3' Taylor allegedly steal from the CluCoin project he founded?
6,What cryptocurrency project did Austin 'DNP3' Taylor plead guilty to committing wire fraud against?
6,"How are victims of this alleged fraud being notified, according to the information provided in the record?"
6,Why did Austin 'DNP3' Taylor use investor funds for gambling purposes in online casinos?
6,What punishments may Austin 'DNP3' Taylor face as a result of his guilty plea and wire fraud conviction?
7,"What safeguards could have prevented this individual from losing $100,000 in bitcoin, ether, and US dollars?"
7,Why was the man in his 60s convinced that the person he spoke with on the phone was a genuine Coinbase support representative?
7,How did the scammer make it to the top of Google search rankings for 'Coinbase'?
7,Do crypto platforms have similar reverse transaction capabilities as major banking platforms?
7,Are phishing attacks more prevalent in the cryptocurrency industry or traditional finance (TradFi)?
8,What was the approximate amount stolen by North Korean developers from a cryptocurrency project through malicious code?
8,"Approximately how much money was these developers able to earn over the past month, as per the information provided?"
8,"In what time frame did zachxbt trace the payment addresses of the mentioned developers (i.e., within this specific incident or over a longer period)?"
8,"How many developers, according to zachxbt, were involved in this activity and had been found working for at least 25 different cryptocurrency projects?"
8,"How were the North Korean developers able to maintain multiple identities while working on different crypto projects, as per the record?"
9,What actions were taken by the Ronin team following the detection of the flaw and before bringing the bridge back online?
9,"Who were the main beneficiaries of this incident, and why?"
9,What safety feature in the code was triggered due to the maximum amount being exceeded during the incident?
9,What was the nature of the incident that resulted in $12 million being taken from the Ronin bridge and what was taken exactly?
9,How did the flaw in the update to the bridge code contribute to the incident?
10,What was the nature of the exploit on ConvergenceFi?
10,How did the attacker drain the tokens from ConvergenceFi's staking emissions?
10,Why did ConvergenceFi claim their users' funds were safe despite being hacked?
10,Why could the attacker set an arbitrary amount of tokens to return in the ConvergenceFi smart contract?
10,What actions were recommended for users by ConvergenceFi after the hack?
11,Who was the attacker who hacked MonoSwap DEX and how much money has been laundered so far?
11,How did the attack on MonoSwap occur according to the project team's statement?
11,What is the cryptocurrency mixer used by the MonoSwap attacker for laundering the stolen funds?
